country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",30-05-2025 02:00:00,23.108440,77.511428,NH3,4,4,4
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",30-05-2025 02:00:00,23.108440,77.511428,OZONE,19,51,40
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",30-05-2025 02:00:00,23.331731,75.045981,PM2.5,NA,NA,NA
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",30-05-2025 02:00:00,23.331731,75.045981,NO2,NA,NA,NA
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30-05-2025 02:00:00,12.21041,76.37376,PM2.5,11,43,19
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30-05-2025 02:00:00,12.21041,76.37376,SO2,2,25,12
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30-05-2025 02:00:00,12.21041,76.37376,OZONE,11,49,19
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",30-05-2025 02:00:00,13.940000,75.555917,NO2,11,15,13
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",30-05-2025 02:00:00,13.940000,75.555917,NH3,2,3,3
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",30-05-2025 02:00:00,13.940000,75.555917,OZONE,10,26,21
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",30-05-2025 02:00:00,11.875000,75.373200,PM10,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",30-05-2025 02:00:00,8.8787,76.6073,PM2.5,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",30-05-2025 02:00:00,8.8787,76.6073,CO,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",30-05-2025 02:00:00,8.8787,76.6073,OZONE,NA,NA,NA
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",30-05-2025 02:00:00,8.5149093,76.9435879,SO2,5,32,17
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",30-05-2025 02:00:00,23.210494,77.425409,PM10,31,87,55
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",30-05-2025 02:00:00,13.328028,75.797056,PM2.5,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",30-05-2025 02:00:00,13.328028,75.797056,OZONE,13,37,15
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",30-05-2025 02:00:00,15.459706,75.008381,PM10,NA,NA,NA
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",30-05-2025 02:00:00,15.459706,75.008381,SO2,NA,NA,NA
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB",30-05-2025 02:00:00,13.008556,76.125258,PM10,17,70,37
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",30-05-2025 02:00:00,26.259242,78.216432,OZONE,43,129,93
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",30-05-2025 02:00:00,26.200388,78.147714,PM2.5,33,107,58
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",30-05-2025 02:00:00,22.7289,75.8076,PM10,32,93,44
India,Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",30-05-2025 02:00:00,22.76726,75.88710,PM10,38,44,40
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",30-05-2025 02:00:00,23.168606,79.932247,PM10,42,374,88
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",30-05-2025 02:00:00,23.838586,78.759431,NH3,1,3,2
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",30-05-2025 02:00:00,23.838586,78.759431,SO2,3,11,6
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",30-05-2025 02:00:00,23.8640158,78.80289321,NO2,4,28,13
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",30-05-2025 02:00:00,23.8640158,78.80289321,SO2,2,3,2
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",30-05-2025 02:00:00,24.108970,82.645580,NH3,1,4,2
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",30-05-2025 02:00:00,19.10122,74.73339,NH3,4,8,6
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",30-05-2025 02:00:00,20.719516,77.000253,PM2.5,20,127,58
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",30-05-2025 02:00:00,20.719516,77.000253,SO2,18,19,18
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",30-05-2025 02:00:00,20.719516,77.000253,CO,31,58,39
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",30-05-2025 02:00:00,19.296481,72.840923,PM10,66,78,72
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",30-05-2025 02:00:00,19.296481,72.840923,NH3,1,4,2
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",30-05-2025 02:00:00,19.296481,72.840923,CO,2,30,4
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",30-05-2025 02:00:00,19.053536,72.84643,PM10,103,187,140
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",30-05-2025 02:00:00,19.053536,72.84643,CO,18,98,34
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",30-05-2025 02:00:00,19.065931,72.862131,SO2,1,4,2
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",30-05-2025 02:00:00,19.065931,72.862131,OZONE,1,32,6
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",30-05-2025 02:00:00,19.23241,72.86895,CO,2,55,11
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",30-05-2025 02:00:00,19.2243333,72.8658113,CO,NA,NA,NA
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",30-05-2025 02:00:00,19.0243902,73.0406721,OZONE,NA,NA,NA
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",30-05-2025 02:00:00,19.786089,72.757971,PM10,45,104,69
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",30-05-2025 02:00:00,19.786089,72.757971,CO,2,22,9
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",30-05-2025 02:00:00,19.962900,79.298714,PM2.5,35,86,61
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",30-05-2025 02:00:00,19.962900,79.298714,NH3,3,3,3
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",30-05-2025 02:00:00,19.9775302,79.2337086,NH3,1,3,2
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",30-05-2025 02:00:00,19.083694,72.920967,NH3,1,2,1
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",30-05-2025 02:00:00,19.083694,72.920967,CO,4,31,10
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",30-05-2025 02:00:00,19.215859,72.831718,CO,2,37,9
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",30-05-2025 02:00:00,19.0632143,72.8456324,PM10,71,119,87
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",30-05-2025 02:00:00,19.0863,72.8888,CO,4,8,5
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",30-05-2025 02:00:00,19.19709,72.82204,PM2.5,7,43,24
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",30-05-2025 02:00:00,16.6870449,74.2505872,PM10,28,50,41
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",30-05-2025 02:00:00,16.6870449,74.2505872,CO,1,24,8
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",30-05-2025 02:00:00,16.7143745,74.2426398,CO,6,14,11
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",30-05-2025 02:00:00,18.39963,76.57452,NO2,6,45,13
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",30-05-2025 02:00:00,18.1023399,73.4783687,NO2,4,74,17
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",30-05-2025 02:00:00,19.854616,75.905894,PM2.5,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",30-05-2025 02:00:00,19.854616,75.905894,PM10,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",30-05-2025 02:00:00,19.854616,75.905894,OZONE,1,48,19
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",30-05-2025 02:00:00,19.25292,73.142019,PM2.5,39,70,50
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",30-05-2025 02:00:00,19.25292,73.142019,OZONE,16,16,16
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",30-05-2025 02:00:00,19.192056,72.9585188,OZONE,15,28,18
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",30-05-2025 02:00:00,19.19709,72.82204,NH3,11,18,14
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",30-05-2025 02:00:00,19.19709,72.82204,OZONE,2,10,4
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",30-05-2025 02:00:00,19.1750,72.9419,PM2.5,39,95,53
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",30-05-2025 02:00:00,18.897756,72.813320,PM10,87,157,108
